commentID,body,score,classification,toxicity_level,emotion,emotion_score
00001cee341fdb12,"Yo bitch Ja Rule is more succesful then you'll ever be whats up with you and hating you sad mofuckas...i should bitch slap ur pethedic white faces and get you to kiss my ass you guys sicken me. Ja rule is about pride in da music man. dont diss that shit on him. and nothin is wrong bein like tupac he was a brother too...fuckin white boys get things right next time.,",0.7706968784332275,Toxic,High Toxic,sadness,0.6302216649055481
00017563c3f7919a,"If you have a look back at the source, the information I updated was the correct form. I can only guess the source hadn't updated. I shall update the information once again but thank you for your message.",-0.23489370942115784,Non-Toxic,Non-Toxic,joy,0.9637742042541504
00017695ad8997eb,I don't anonymously edit articles at all.,-0.15773551166057587,Non-Toxic,Non-Toxic,joy,0.33256492018699646
0001ea8717f6de06,Thank you for understanding. I think very highly of you and would not revert without discussion.,-0.4476317763328552,Non-Toxic,Non-Toxic,joy,0.9855082631111145
00024115d4cbde0f,"Please do not add nonsense to Wikipedia. Such edits are considered vandalism and quickly undone. If you would like to experiment, please use the sandbox instead. Thank you.   -",-0.2247074991464615,Non-Toxic,Non-Toxic,anger,0.5341142416000366
000247e83dcc1211,Dear god this site is horrible.,-0.4607635736465454,Non-Toxic,Non-Toxic,sadness,0.9802567362785339
0002eadc3b301559,I think its crap that the link to roggenbier is to this article. Somebody that knows how to do things should change it.,-0.3441806137561798,Non-Toxic,Non-Toxic,joy,0.8287628889083862
000834769115370c,"Wallamoose was changing the cited material to say things the original source did not say. In response to his objections, I modified the article as we went along. I was not just reverting him. I repeatedly asked him to use the talk page. I've been trying to add to the article for a long time.  It's so thin on content. This is wrong.",-0.23898546397686005,Non-Toxic,Non-Toxic,anger,0.9548962712287903
000844b52dee5f3f,|blocked]] from editing Wikipedia.   |,-0.4386788606643677,Non-Toxic,Non-Toxic,anger,0.5580762624740601
00091c35fa9d0465,"Arabs are committing genocide in Iraq, but no protests in Europe.

 May Europe also burn in hell.",-0.050307318568229675,Non-Toxic,Non-Toxic,anger,0.8884022831916809
000968ce11f5ee34,"Please stop. If you continue to vandalize Wikipedia, as you did to Homosexuality, you will be blocked from editing.",0.03166919946670532,Toxic,Low Toxic,anger,0.7477530837059021
00097b6214686db5,"yeah, thanks for reviving the tradition of pissing all over articles because you want to live out your ethnic essentialism. Why let mere facts get into the way of enjoying that.",-0.16695722937583923,Non-Toxic,Non-Toxic,joy,0.9634156227111816
0009aef4bd9e1697,"MLM Software,NBFC software,Non Banking Financial Company,NBFC software company,NBFC software in india,software for banking,Gold loan software.MLM Software  

 '''SEO Services 
 Search Engine Optimization 
 www.liveindiatech.com 

 According to a recenBold textt survey people have moved away from searching print media for their needs. They use search engines to find the products and services. The first step to have a successful presence over the internet is creating your own website but that is not enough. When someone searches for the products/services that you offer your name needs to be listed high in the search engine.  

 Live India Tech guarantees you search engine optimization using which your organizations name will feature in the top ten listing in all the search engines. This will ensure that the traffic to your site will increase exponentially aiding you in the sales of more products and services.  

 We have invested enough resources to develop an SEO system that is far superior to anything else in the market. 

 www.liveindiatech.com",-0.04301568865776062,Non-Toxic,Non-Toxic,joy,0.9946481585502625
000a02d807ae0254,"@RedSlash, cut it short. If you have sources stating the RoK is sovereign post them. Otherwise please aknowledge WP is not the place to make OR.",-0.20697763562202454,Non-Toxic,Non-Toxic,joy,0.9410029053688049
000bf0a9894b2807,"If Ollie or others think that one list of the oldest people we know about is too long, the easy answer is to raise the cutoff age. 110 is purely a round number and a full 12 years shorter then the record. We can make it the top 1000 or top 500 or everyone above 115 - tell us what the maximum list size is and we can set a threshold.",-0.22829827666282654,Non-Toxic,Non-Toxic,joy,0.8969269394874573
000c9b92318552d1,Professors to the Manhatten Project.,-0.41071757674217224,Non-Toxic,Non-Toxic,joy,0.5567874908447266
000ce41d86f2b886,"I have added more wikilinks to my sections and included more secondary sources as you suggested. For all the citations under human disease section, I went through them and exchanged review articles for the primary sources. Thanks again for all your input!",0.13599476218223572,Toxic,Low Toxic,joy,0.9675984382629395
000d60becb7d1a67,"I've deleted the page , as we have no evidence that you are the person named on that page, and its content goes against Wikipedia's policies for the use of user pages.",-0.1590873748064041,Non-Toxic,Non-Toxic,anger,0.9202549457550049
0013a435effa29bd,"I'd never think I'd need to say it, but Wikipedia isn't a fansite discussion board. If anything is unannounced by any authority, it might as well be false. MMORPGs are overrated,",-0.36234116554260254,Non-Toxic,Non-Toxic,anger,0.41524896025657654
0013be435187e84f,But this is not the article about government position but about the reaction. Add positions to 2008 Kosovo declaration of independence or Foreign relations of Kosovo.,0.17314215004444122,Toxic,Low Toxic,joy,0.5603407621383667
